Claim_ID,Status,Timestamp,Food_Name,Food_Type,Meal_Type,Quantity,Expiry_Date,Provider_Name,Provider_Type,Provider_City,Provider_Contact,Receiver_Name,Receiver_Type,Receiver_City
238,Cancelled,2025-03-20 15:24:00,Bread,Vegetarian,Dinner,46,2025-03-22,"Dennis, Parker and Sanchez",Supermarket,Port Markview,921-065-5873x078,Dustin Stark,Charity,Kimberlymouth
946,Cancelled,2025-03-20 13:56:00,Chicken,Vegan,Lunch,6,2025-03-17,"Ward, Shepherd and Krause",Catering Service,Jasonstad,+1-454-823-5622,Kristine Martin,NGO,Thompsonhaven
123,Completed,2025-03-20 13:50:00,Soup,Non-Vegetarian,Breakfast,21,2025-03-23,"Fisher, Hernandez and Webster",Grocery Store,South Lisaberg,871-801-8397x99626,Amy Perez,Charity,West Jacquelineland
528,Completed,2025-03-20 13:45:00,Bread,Non-Vegetarian,Breakfast,35,2025-03-28,Douglas-Colon,Catering Service,Port Marcland,439.020.2351,Donald Gomez,Shelter,Port Carlburgh
49,Pending,2025-03-20 13:44:00,Salad,Non-Vegetarian,Snacks,25,2025-03-22,Bradford-Martinez,Supermarket,New Carol,199.451.0254,Joseph Johnson,NGO,South Jasminechester
470,Cancelled,2025-03-20 13:44:00,Bread,Vegetarian,Snacks,50,2025-03-30,Nelson LLC,Restaurant,Lake Andrewmouth,+1-859-029-3911x34890,John Martin,Charity,New Jason
632,Completed,2025-03-20 13:40:00,Bread,Vegan,Breakfast,50,2025-03-28,Schmidt Ltd,Restaurant,Brownchester,3466470514,Emily Turner,Shelter,West Robert
637,Pending,2025-03-20 13:06:00,Fruits,Non-Vegetarian,Dinner,2,2025-03-28,Mckinney Ltd,Restaurant,East Stephanie,225-959-2378,Morgan Massey,Charity,West Amybury
725,Pending,2025-03-20 12:45:00,Bread,Non-Vegetarian,Dinner,1,2025-03-26,"Newman, Pearson and Mccarthy",Grocery Store,North Gary,905.549.7068,Corey Lamb,Charity,New Daniel
507,Pending,2025-03-20 12:41:00,Soup,Vegetarian,Lunch,42,2025-03-23,"Webb, Phillips and Garcia",Supermarket,Bradleyport,001-401-943-3400,Tara Johns,Individual,Paulmouth
774,Cancelled,2025-03-20 12:11:00,Rice,Vegan,Breakfast,6,2025-03-23,Williams-Cox,Supermarket,East Austin,082.114.2329,Karen Reeves MD,NGO,Lake Mitchellbury
154,Pending,2025-03-20 12:04:00,Pasta,Vegetarian,Dinner,34,2025-03-22,"Anderson, Adams and Roberts",Supermarket,New Denise,+1-941-120-2190x554,Derrick Curtis,NGO,Stephaniechester
893,Completed,2025-03-20 12:02:00,Salad,Vegan,Dinner,35,2025-03-28,Ortiz-Lee,Restaurant,Lake Christopherburgh,(563)889-7190,Scott Hunter,Individual,Greenton
431,Completed,2025-03-20 11:53:00,Pasta,Vegan,Lunch,8,2025-03-26,Johnson PLC,Supermarket,East Bernard,(764)089-8990x152,Alexis Rodriguez,Shelter,South Shirleymouth
190,Pending,2025-03-20 09:21:00,Fish,Non-Vegetarian,Dinner,46,2025-03-24,"Martin, Tyler and Wilkerson",Grocery Store,North Kevinhaven,+1-287-799-5933x17852,Shawn Gibson,Individual,South Eric
709,Cancelled,2025-03-20 09:11:00,Rice,Vegan,Lunch,28,2025-03-20,"Gonzalez, Dunn and Oconnell",Grocery Store,Williamsmouth,+1-605-449-8141x1518,Michael Ford,Individual,New Sean
754,Completed,2025-03-20 08:59:00,Fish,Vegetarian,Breakfast,22,2025-03-18,Nguyen-Parsons,Grocery Store,Andersonmouth,(638)668-6852,Lydia Phillips,Shelter,North Hollyland
537,Cancelled,2025-03-20 08:41:00,Bread,Non-Vegetarian,Breakfast,48,2025-03-22,Todd Group,Catering Service,Port Patrick,236.722.8623,Aimee Stone,NGO,Barnesport
832,Completed,2025-03-20 08:29:00,Rice,Vegan,Lunch,28,2025-03-19,Rollins-Mclaughlin,Catering Service,Brownberg,728-509-6340x7211,Sarah Carter,Charity,New Benjamin
839,Cancelled,2025-03-20 08:13:00,Vegetables,Vegetarian,Breakfast,16,2025-03-21,Berry-Mack,Grocery Store,South Stefanietown,(769)872-1659,Charles Davidson,Shelter,West Angelatown
619,Cancelled,2025-03-20 07:40:00,Chicken,Vegan,Breakfast,46,2025-03-29,Doyle LLC,Catering Service,Brittanyside,0312154595,Edward Lopez,NGO,New Matthewton
586,Completed,2025-03-20 06:59:00,Fruits,Vegetarian,Breakfast,26,2025-03-20,"Mitchell, Campbell and Jones",Grocery Store,Marymouth,001-356-024-1560x512,Mrs. Kristin Adams DDS,Charity,Lake Christychester
124,Cancelled,2025-03-20 06:55:00,Chicken,Non-Vegetarian,Snacks,18,2025-03-19,"Anderson, Nicholson and Bruce",Catering Service,East Elizabethberg,+1-274-720-0033x1795,Joseph Davis,NGO,Millerport
735,Completed,2025-03-20 06:52:00,Dairy,Vegan,Snacks,1,2025-03-27,Brown and Sons,Supermarket,South Christopherborough,(352)481-4738,Oscar Bauer,Charity,South Nicoleberg
740,Completed,2025-03-20 06:16:00,Vegetables,Vegan,Breakfast,16,2025-03-17,Chan-Elliott,Supermarket,Toddberg,021-322-3933x46620,Brian Gonzales,NGO,North Sarah
591,Completed,2025-03-20 06:00:00,Pasta,Vegetarian,Breakfast,2,2025-03-25,Simmons Group,Restaurant,West Lucasville,002.503.5955x077,Timothy Burns,Charity,East Janetstad
382,Cancelled,2025-03-20 05:46:00,Rice,Non-Vegetarian,Snacks,49,2025-03-28,Cole-Stein,Catering Service,New Rachel,(322)115-7175x12748,Elizabeth Cochran,NGO,Theresabury
454,Completed,2025-03-20 05:18:00,Vegetables,Non-Vegetarian,Breakfast,21,2025-03-24,Carroll-Stanley,Grocery Store,West Omarside,849.339.1687x68179,Donna Terry,Charity,Mathistown
230,Pending,2025-03-20 04:11:00,Vegetables,Non-Vegetarian,Snacks,35,2025-03-22,Bowman LLC,Restaurant,Port Karen,(890)877-4218x852,Spencer Roberts,Charity,East Sheenahaven
991,Pending,2025-03-20 03:50:00,Dairy,Vegetarian,Breakfast,26,2025-03-30,Terry Inc,Restaurant,Johnton,280-723-4101x315,Steve Kirby,Charity,Travishaven
371,Pending,2025-03-20 03:44:00,Dairy,Vegan,Breakfast,43,2025-03-16,"Ferguson, Henderson and Watson",Catering Service,North Mariahchester,351-379-8297x4923,Frank Olson,Shelter,South Anthonyside
645,Pending,2025-03-20 03:23:00,Chicken,Vegan,Breakfast,2,2025-03-28,Garner PLC,Grocery Store,Evansmouth,(112)902-8389,Cassandra Mendoza,NGO,Dantown
252,Completed,2025-03-20 03:22:00,Soup,Non-Vegetarian,Dinner,36,2025-03-30,"Holland, Caldwell and Oliver",Restaurant,East Sandratown,(670)960-9465,Matthew Pearson,NGO,Garciaview
758,Cancelled,2025-03-20 02:09:00,Chicken,Non-Vegetarian,Lunch,8,2025-03-20,"Pollard, Yoder and Martin",Grocery Store,Steeleport,731-612-0267x787,Brian Hill,Charity,Port Dominique
167,Completed,2025-03-20 01:38:00,Rice,Vegan,Lunch,49,2025-03-29,Payne Inc,Restaurant,Huberstad,001-148-921-4043x467,David Turner,Charity,East William
922,Pending,2025-03-20 00:57:00,Rice,Non-Vegetarian,Breakfast,28,2025-03-29,Phillips-Bradley,Supermarket,South Allisonburgh,001-645-494-2603,Mary Wilson,Charity,Lake Kimberlyton
928,Pending,2025-03-20 00:15:00,Chicken,Vegetarian,Dinner,14,2025-03-27,Gibson and Sons,Catering Service,Grahamside,(804)688-7617,Alex Leon,Individual,Caitlynhaven
229,Completed,2025-03-19 23:40:00,Bread,Vegetarian,Snacks,47,2025-03-16,Small Ltd,Catering Service,Gaineschester,1943075475,Arthur Thomas,Charity,Clarkhaven
784,Pending,2025-03-19 22:41:00,Salad,Non-Vegetarian,Snacks,46,2025-03-27,Wilkerson-Woods,Supermarket,Samanthabury,3597678978,Yvette Huffman,Charity,Reevestown
465,Pending,2025-03-19 21:43:00,Fruits,Vegan,Breakfast,45,2025-03-25,"Cooper, Osborn and Clark",Grocery Store,North Stevenbury,001-548-930-4392x6738,Stacy Mayo,Shelter,Bauerton
250,Cancelled,2025-03-19 21:41:00,Pasta,Vegetarian,Dinner,13,2025-03-26,Carey PLC,Supermarket,Donnaborough,001-734-038-0600x959,Calvin Lucas,Individual,Corybury
387,Cancelled,2025-03-19 21:23:00,Rice,Vegetarian,Lunch,35,2025-03-16,Young-Luna,Restaurant,Linchester,001-367-389-8038x71593,James Kennedy,Charity,South Donaldshire
160,Completed,2025-03-19 19:48:00,Bread,Non-Vegetarian,Snacks,9,2025-03-24,Fernandez-Bridges,Supermarket,Brittanyville,001-714-175-0277x076,Michael Lewis,Individual,East Kimberlymouth
527,Pending,2025-03-19 19:35:00,Fruits,Vegetarian,Dinner,3,2025-03-24,Morgan-Blackwell,Supermarket,Colemanton,(254)215-9233,Diana Blair,Shelter,Murrayside
100,Pending,2025-03-19 19:11:00,Dairy,Non-Vegetarian,Dinner,35,2025-03-23,Beck Inc,Restaurant,Jasonmouth,963-484-4775x327,Brian Hardy,NGO,Lake Williamhaven
745,Pending,2025-03-19 19:02:00,Salad,Vegetarian,Dinner,35,2025-03-19,Gonzalez Inc,Catering Service,South Nicole,679-305-8392,Martha Flores,NGO,Lake Glenview
599,Pending,2025-03-19 18:33:00,Chicken,Non-Vegetarian,Breakfast,20,2025-03-20,Rogers-Warren,Grocery Store,Jamesfurt,001-439-195-6960,Jessica Grant,Charity,Smithshire
350,Completed,2025-03-19 18:27:00,Fish,Vegan,Snacks,10,2025-03-28,Figueroa Inc,Catering Service,Lewishaven,107.592.8920,Margaret Mccullough,Charity,Ortizmouth
233,Pending,2025-03-19 18:07:00,Soup,Non-Vegetarian,Dinner,32,2025-03-22,Garcia-Hunter,Restaurant,North Ianbury,150-729-4411,Ashley Harris,Individual,Lake Stephenchester
788,Completed,2025-03-19 17:32:00,Rice,Vegan,Snacks,20,2025-03-19,Jackson-Robinson,Supermarket,North Tom,001-341-741-8533,Tara Graham,Shelter,Lake Cory
442,Cancelled,2025-03-19 16:01:00,Salad,Non-Vegetarian,Snacks,6,2025-03-23,Smith-Turner,Supermarket,New John,001-084-709-0706x311,Eric Mays,NGO,Port Deborahbury
70,Completed,2025-03-19 15:41:00,Pasta,Vegetarian,Breakfast,8,2025-03-24,Simmons Ltd,Grocery Store,New Curtis,(219)975-7084,Karen Reeves MD,NGO,Lake Mitchellbury
990,Cancelled,2025-03-19 15:41:00,Soup,Vegetarian,Breakfast,23,2025-03-29,Rogers-Shaw,Catering Service,South Jacobport,001-522-305-5977x0080,Rebecca Lucas,Charity,New Jessicabury
517,Completed,2025-03-19 13:38:00,Soup,Vegetarian,Dinner,12,2025-03-27,Rivera Ltd,Supermarket,Manuelhaven,+1-832-244-5987,Lori Peters,Individual,Annaborough
827,Cancelled,2025-03-19 13:26:00,Rice,Vegan,Dinner,46,2025-03-25,"Hunter, Ballard and Caldwell",Catering Service,Leslieville,001-594-592-2116x9925,Alicia Thomas,Charity,Lake Mary
585,Completed,2025-03-19 13:20:00,Rice,Non-Vegetarian,Lunch,39,2025-03-21,Blair LLC,Grocery Store,Phillipsfort,(213)522-3298x866,Kimberly Ware,Individual,East Sheriton
50,Pending,2025-03-19 13:18:00,Dairy,Non-Vegetarian,Lunch,12,2025-03-24,"Harper, Blake and Alexander",Catering Service,Devinmouth,(144)381-3923,Elizabeth Cochran,NGO,Theresabury
746,Pending,2025-03-19 13:13:00,Pasta,Non-Vegetarian,Dinner,7,2025-03-25,"Spears, Anderson and Huffman",Restaurant,Lake Stephen,1906277080,Jennifer Clark,NGO,Spencermouth
993,Cancelled,2025-03-19 12:40:00,Pasta,Vegetarian,Dinner,18,2025-03-26,Carter-Jones,Restaurant,East Terrancemouth,892-412-5796,Anna Buckley,Individual,Murphyfort
314,Cancelled,2025-03-19 12:18:00,Rice,Vegan,Lunch,14,2025-03-28,"Simpson, Thomas and Smith",Grocery Store,South Bradleyburgh,001-117-114-7043,Patrick Jenkins,Charity,West Richard
579,Completed,2025-03-19 11:30:00,Salad,Vegan,Dinner,18,2025-03-22,"Scott, Lopez and Baldwin",Grocery Store,Allenborough,001-590-644-2836,Kristina Vargas,Charity,Lake Rebeccaton
373,Pending,2025-03-19 10:49:00,Fish,Vegetarian,Dinner,7,2025-03-29,Hines-Green,Grocery Store,Lindseyland,(054)626-5986x842,Susan Green,Charity,Josephborough
621,Pending,2025-03-19 10:26:00,Dairy,Vegetarian,Breakfast,26,2025-03-30,Terry Inc,Restaurant,Johnton,280-723-4101x315,Matthew Webb,Charity,West David
672,Completed,2025-03-19 09:42:00,Rice,Vegetarian,Breakfast,25,2025-03-30,"Roberson, Marquez and Mcdowell",Supermarket,New Erica,001-664-180-0480x4998,Kimberly Wilson,Individual,Susanville
741,Cancelled,2025-03-19 09:05:00,Bread,Vegetarian,Breakfast,48,2025-03-20,Serrano-Lopez,Restaurant,South Justinborough,(225)688-7752x0658,Robert Stewart,Shelter,New Laura
445,Cancelled,2025-03-19 08:55:00,Chicken,Non-Vegetarian,Breakfast,15,2025-03-25,Crosby Group,Grocery Store,Erikatown,+1-307-053-5303x7456,Debbie Cox,Charity,Christopherchester
284,Pending,2025-03-19 08:45:00,Soup,Non-Vegetarian,Breakfast,31,2025-03-20,Rodriguez and Sons,Restaurant,North Sharonburgh,477.309.3018x208,Rebecca Chan,Charity,West Brittany
256,Completed,2025-03-19 08:03:00,Dairy,Vegan,Lunch,27,2025-03-25,"White, Crawford and Pearson",Supermarket,Frederickside,958.016.7653x7393,Taylor Dean,Shelter,Moorechester
602,Cancelled,2025-03-19 07:08:00,Bread,Vegetarian,Lunch,22,2025-03-28,Miller Group,Supermarket,Lake Kristentown,001-311-806-0098x37361,Amanda Cain,NGO,New Steven
352,Completed,2025-03-19 07:00:00,Soup,Non-Vegetarian,Lunch,34,2025-03-18,Ibarra LLC,Catering Service,Adambury,6703380260,Robert Becker,Charity,Danielland
675,Cancelled,2025-03-19 06:58:00,Chicken,Non-Vegetarian,Lunch,5,2025-03-20,Patterson Inc,Restaurant,Jeffreyport,019.231.7207,Cassandra Owens,Shelter,Tomburgh
682,Pending,2025-03-19 06:45:00,Bread,Vegan,Breakfast,33,2025-03-20,Avery PLC,Supermarket,Amandashire,589.122.1214x989,Mark Ward,NGO,Port Jonathanton
664,Cancelled,2025-03-19 06:20:00,Fish,Vegetarian,Dinner,7,2025-03-29,Hines-Green,Grocery Store,Lindseyland,(054)626-5986x842,Betty Reid,Charity,North Abigail
984,Completed,2025-03-19 06:19:00,Bread,Non-Vegetarian,Breakfast,43,2025-03-17,Figueroa-Soto,Grocery Store,South Kellyville,(599)442-0494,Debra Murray,NGO,Duncanchester
298,Cancelled,2025-03-19 06:08:00,Dairy,Non-Vegetarian,Breakfast,5,2025-03-25,Henry PLC,Restaurant,South Tiffanyfort,104.576.7855x2145,Courtney Whitney,Individual,West Mariashire
94,Cancelled,2025-03-19 05:04:00,Pasta,Vegetarian,Snacks,12,2025-03-22,"Anderson, Adams and Roberts",Supermarket,New Denise,+1-941-120-2190x554,William Fox,NGO,Port Angelafurt
862,Cancelled,2025-03-19 04:49:00,Chicken,Vegan,Lunch,6,2025-03-17,"Ward, Shepherd and Krause",Catering Service,Jasonstad,+1-454-823-5622,Samuel Lewis,Individual,North Nicole
750,Completed,2025-03-19 04:32:00,Vegetables,Vegan,Snacks,49,2025-03-23,Johnson-Ray,Supermarket,Port Connie,294.692.7978x3473,Matthew Webb,Charity,West David
28,Pending,2025-03-19 04:15:00,Vegetables,Vegetarian,Breakfast,37,2025-03-18,"Bennett, Phillips and Green",Supermarket,Lake Rachael,001-350-580-0382x854,Stephen Smith,Individual,Maxberg
288,Completed,2025-03-19 02:29:00,Salad,Vegetarian,Dinner,6,2025-03-20,"Newman, Pearson and Mccarthy",Grocery Store,North Gary,905.549.7068,Donald Moore,Individual,Davisfort
982,Cancelled,2025-03-19 02:27:00,Salad,Non-Vegetarian,Snacks,37,2025-03-24,Jenkins-Carpenter,Supermarket,Toddstad,1448122181,Veronica Adams,Individual,Natalieside
515,Completed,2025-03-19 02:18:00,Chicken,Vegan,Lunch,33,2025-03-18,"Munoz, Stone and Wallace",Grocery Store,Herbertbury,(041)135-3095x826,Derek Potter,Charity,South Laurachester
182,Pending,2025-03-19 01:41:00,Dairy,Vegetarian,Breakfast,44,2025-03-24,"Spears, Anderson and Huffman",Restaurant,Lake Stephen,1906277080,Kristina Vargas,Charity,Lake Rebeccaton
640,Cancelled,2025-03-19 01:17:00,Pasta,Vegan,Dinner,26,2025-03-17,Elliott-Jones,Restaurant,Lewisberg,690.272.6499,Sharon Wood,Charity,New Melindashire
968,Cancelled,2025-03-19 00:50:00,Chicken,Non-Vegetarian,Lunch,49,2025-03-30,Parsons and Sons,Catering Service,East Sonyaport,169-470-3250x7530,Angel Adams,Shelter,West Erik
631,Pending,2025-03-19 00:37:00,Dairy,Non-Vegetarian,Lunch,4,2025-03-19,"White, Crawford and Pearson",Supermarket,Frederickside,958.016.7653x7393,Mary Franklin,Individual,Courtneyfurt
273,Pending,2025-03-19 00:34:00,Fish,Vegetarian,Breakfast,3,2025-03-30,"Perry, Perez and Carter",Catering Service,Cameronside,085.588.5857,Nicole Brown,Charity,Thomaston
903,Cancelled,2025-03-18 22:32:00,Salad,Vegetarian,Lunch,31,2025-03-24,Nelson LLC,Restaurant,Lake Andrewmouth,+1-859-029-3911x34890,Jose Rivas,Shelter,Rosaleschester
125,Pending,2025-03-18 21:40:00,Soup,Vegan,Lunch,1,2025-03-28,Campbell LLC,Supermarket,Perezport,001-211-446-3315x74760,Christine Patterson,Individual,Edwardfort
286,Pending,2025-03-18 20:45:00,Rice,Non-Vegetarian,Snacks,38,2025-03-20,Caldwell PLC,Catering Service,Jeffreyshire,+1-608-327-2565x3004,Paul Carter,Individual,Kinghaven
83,Completed,2025-03-18 19:37:00,Chicken,Non-Vegetarian,Dinner,1,2025-03-22,Gutierrez LLC,Catering Service,Gutierrezshire,+1-544-924-8841x926,Janet Newton,Individual,West Amandaport
983,Pending,2025-03-18 19:10:00,Pasta,Non-Vegetarian,Snacks,16,2025-03-17,Brown Ltd,Supermarket,Castilloport,164.699.6716,Eugene Beltran,Shelter,South Samanthaburgh
708,Pending,2025-03-18 18:55:00,Pasta,Non-Vegetarian,Lunch,15,2025-03-30,Moreno-Melton,Supermarket,Lake Mistyton,001-098-297-7862x776,Randy Roach,Charity,East Bryan
331,Cancelled,2025-03-18 18:37:00,Rice,Vegetarian,Breakfast,3,2025-03-26,Roy-Hancock,Supermarket,Maxwellburgh,(186)046-9157,Autumn Reed,NGO,East John
848,Pending,2025-03-18 18:19:00,Chicken,Vegan,Lunch,44,2025-03-21,Barry Group,Restaurant,South Kathryn,+1-533-592-0009x5523,Teresa Jackson,Shelter,Port Thomasstad
91,Completed,2025-03-18 18:10:00,Dairy,Non-Vegetarian,Lunch,12,2025-03-24,"Harper, Blake and Alexander",Catering Service,Devinmouth,(144)381-3923,Seth Esparza,Shelter,Port Brandonberg
647,Pending,2025-03-18 17:53:00,Rice,Vegan,Breakfast,6,2025-03-23,Williams-Cox,Supermarket,East Austin,082.114.2329,John Murray,Shelter,Fernandezberg
255,Pending,2025-03-18 17:31:00,Rice,Non-Vegetarian,Dinner,33,2025-03-28,Rogers-Warren,Grocery Store,Jamesfurt,001-439-195-6960,Jane Davis,Individual,Lake Joshuaville
334,Cancelled,2025-03-18 17:27:00,Soup,Vegetarian,Lunch,21,2025-03-26,Reed LLC,Supermarket,East Anthony,427.554.1262,Scott Schroeder,Shelter,Markfurt
636,Cancelled,2025-03-18 17:20:00,Soup,Non-Vegetarian,Breakfast,31,2025-03-20,Rodriguez and Sons,Restaurant,North Sharonburgh,477.309.3018x208,Jennifer Nelson,Individual,North Paul
411,Pending,2025-03-18 16:53:00,Soup,Vegetarian,Lunch,30,2025-03-16,Shepherd and Sons,Catering Service,Pamelaberg,+1-508-027-9784,Ashley Martinez,NGO,Lake Crystal
768,Pending,2025-03-18 16:20:00,Rice,Non-Vegetarian,Dinner,45,2025-03-18,"Munoz, Stone and Wallace",Grocery Store,Herbertbury,(041)135-3095x826,Kelly Barber,NGO,Emilymouth
245,Pending,2025-03-18 16:16:00,Soup,Vegetarian,Breakfast,47,2025-03-30,Miller Inc,Supermarket,South Thomasville,394.144.5269x2229,Amber Arellano,NGO,South Marymouth
207,Completed,2025-03-18 16:07:00,Bread,Non-Vegetarian,Lunch,18,2025-03-27,Davis and Sons,Catering Service,Patrickfort,965.266.3582,Alex White,Charity,Port Carmen
734,Cancelled,2025-03-18 16:07:00,Fruits,Non-Vegetarian,Snacks,29,2025-03-19,"Reyes, Houston and Esparza",Catering Service,Brittanyland,7525269578,Nicole Brown,Charity,Thomaston
452,Cancelled,2025-03-18 16:04:00,Fruits,Non-Vegetarian,Dinner,48,2025-03-27,Jones-Edwards,Restaurant,Ruizmouth,(077)105-8283,Timothy Burns,Charity,East Janetstad
119,Cancelled,2025-03-18 15:38:00,Vegetables,Non-Vegetarian,Lunch,9,2025-03-23,Brown-Grimes,Supermarket,Lake April,492-029-0285x3479,Nicholas Smith,Charity,Manningtown
343,Pending,2025-03-18 15:08:00,Salad,Vegan,Breakfast,36,2025-03-24,"Davis, Vaughan and Shepherd",Supermarket,New Daniel,(147)151-2023x6618,Nichole Lewis,NGO,North Catherinefurt
285,Completed,2025-03-18 14:32:00,Rice,Vegan,Dinner,31,2025-03-24,Patel Ltd,Restaurant,Lake Vanessaland,(694)214-7175,Kelly Barber,NGO,Emilymouth
846,Cancelled,2025-03-18 13:25:00,Rice,Vegan,Dinner,21,2025-03-17,Martinez PLC,Grocery Store,Westbury,944-129-2371x8219,Trevor Lam,NGO,New Alexismouth
856,Completed,2025-03-18 13:19:00,Bread,Vegan,Dinner,40,2025-03-19,"Anderson, Nicholson and Bruce",Catering Service,East Elizabethberg,+1-274-720-0033x1795,Jessica Stephens,Charity,West Michaelton
914,Completed,2025-03-18 13:03:00,Pasta,Vegetarian,Snacks,3,2025-03-27,"Hopkins, Mora and Green",Grocery Store,North Katelynland,001-965-519-2456x24569,Lindsay Garcia,NGO,North Kimberlyport
